"Statistic","Value"
"Mandarin.(Intercept).estimate",2.92
"Mandarin.(Intercept).std.error",0.66
"Mandarin.(Intercept).statistic",4.44
"Mandarin.(Intercept).p.value",0
"Mandarin.(Intercept).conf_lower",1.63
"Mandarin.(Intercept).conf_higher",4.21
"Italian.(Intercept).estimate",0.59
"Italian.(Intercept).std.error",0.53
"Italian.(Intercept).statistic",1.12
"Italian.(Intercept).p.value",0.27
"Italian.(Intercept).conf_lower",-0.44
"Italian.(Intercept).conf_higher",1.62
"Japanese.(Intercept).estimate",-0.59
"Japanese.(Intercept).std.error",0.6
"Japanese.(Intercept).statistic",-0.98
"Japanese.(Intercept).p.value",0.33
"Japanese.(Intercept).conf_lower",-1.77
"Japanese.(Intercept).conf_higher",0.59
"Mandarin.l2_codednon l2 match.estimate",0.26
"Mandarin.l2_codednon l2 match.std.error",0.17
"Mandarin.l2_codednon l2 match.statistic",1.57
"Mandarin.l2_codednon l2 match.p.value",0.12
"Mandarin.l2_codednon l2 match.conf_lower",-0.06
"Mandarin.l2_codednon l2 match.conf_higher",0.58
"Japanese.l2_codednon l2 match.estimate",0.28
"Japanese.l2_codednon l2 match.std.error",0.15
"Japanese.l2_codednon l2 match.statistic",1.84
"Japanese.l2_codednon l2 match.p.value",0.07
"Japanese.l2_codednon l2 match.conf_lower",-0.02
"Japanese.l2_codednon l2 match.conf_higher",0.57
"Mandarin.music_codednon music.estimate",0.22
"Mandarin.music_codednon music.std.error",0.17
"Mandarin.music_codednon music.statistic",1.3
"Mandarin.music_codednon music.p.value",0.2
"Mandarin.music_codednon music.conf_lower",-0.11
"Mandarin.music_codednon music.conf_higher",0.55
"Mandarin.gs_general.estimate",0.5
"Mandarin.gs_general.std.error",0.33
"Mandarin.gs_general.statistic",1.52
"Mandarin.gs_general.p.value",0.14
"Mandarin.gs_general.conf_lower",-0.15
"Mandarin.gs_general.conf_higher",1.16
"Italian.gs_general.estimate",-0.85
"Italian.gs_general.std.error",0.34
"Italian.gs_general.statistic",-2.47
"Italian.gs_general.p.value",0.02
"Italian.gs_general.conf_lower",-1.52
"Italian.gs_general.conf_higher",-0.18
"Mandarin.gs_activeeng.estimate",-0.45
"Mandarin.gs_activeeng.std.error",0.29
"Mandarin.gs_activeeng.statistic",-1.57
"Mandarin.gs_activeeng.p.value",0.13
"Mandarin.gs_activeeng.conf_lower",-1.01
"Mandarin.gs_activeeng.conf_higher",0.11
"Japanese.gs_activeeng.estimate",-0.58
"Japanese.gs_activeeng.std.error",0.19
"Japanese.gs_activeeng.statistic",-3.13
"Japanese.gs_activeeng.p.value",0
"Japanese.gs_activeeng.conf_lower",-0.95
"Japanese.gs_activeeng.conf_higher",-0.22
"Mandarin.gs_perceptabil.estimate",-0.49
"Mandarin.gs_perceptabil.std.error",0.28
