"Statistic","Value"
"particip_remove_lang.before",53
"particip_remove_lang.remove",3
"particip_remove_lang.after",50
"Mandarin.before",8
"Mandarin.remove",0
"Mandarin.after",8
"italian.before",37
"italian.remove",3
"italian.after",34
"japanese.before",66
"japanese.remove",5
"japanese.after",61
"melody_item.before",10
"melody_item.remove",1
"melody_item.after",9
"rhythm_item.before",10
"rhythm_item.remove",0
"rhythm_item.after",10
"melody_part.before",53
"melody_part.remove",0
"melody_part.after",53
"rhythm_part.before",53
"rhythm_part.remove",1
"rhythm_part.after",52
"RTmet.before",5294
"RTmet.remove",119
"RTmet.after",5175
